name,ring,quadrant,isNew,description
PowerBuilder,Hold,Tools,FALSE,Исчерпан рынок специалистов
Локальное хранение состояния Terraform,Hold,Tools,FALSE,Состояние только в защищённом удалённом хранилище
Самописные T-SQL ETL-скрипты,Hold,Tools,FALSE,Логика возвращается в доменные сервисы
Секреты в конфигурационных файлах,Hold,Tools,FALSE,Только защищённые переменные и KMS
Python,Adopt,Languages & Frameworks,FALSE,ИИ-сервисы и обработка данных
Go,Adopt,Languages & Frameworks,FALSE,Высоконагруженные финтех-сервисы
Java / Kotlin,Adopt,Languages & Frameworks,FALSE,Доменные сервисы клиник и кредитования
SQL,Adopt,Languages & Frameworks,FALSE,Язык дата-продуктов и трансформаций
TypeScript + React,Adopt,Languages & Frameworks,TRUE,Веб-интерфейс операторов вместо PowerBuilder
Avro,Adopt,Languages & Frameworks,TRUE,Сериализация событий с контролем совместимости
Spring Boot 3 / Quarkus,Trial,Languages & Frameworks,TRUE,Стандартизация JVM-сервисов
FastAPI,Trial,Languages & Frameworks,FALSE,Сервисы инференса
Flink SQL,Trial,Languages & Frameworks,TRUE,Потоковые витрины декларативно
Protobuf + gRPC,Trial,Languages & Frameworks,TRUE,Оставшиеся синхронные вызовы внутри контекста
Rust,Assess,Languages & Frameworks,TRUE,Компоненты с жёсткими требованиями к задержкам
Kotlin Multiplatform,Assess,Languages & Frameworks,TRUE,Переиспользование доменной логики
PowerBuilder (4GL),Hold,Languages & Frameworks,FALSE,Нет пути к современным интеграциям
T-SQL как место бизнес-логики,Hold,Languages & Frameworks,FALSE,Логика переносится в домены
VBA / макросы Excel,Hold,Languages & Frameworks,FALSE,Неаудируемая и невоспроизводимая логика
